Name,Nat,Club,Position,Age,Height,Preferred_ Foot,Apps,Starts,Mins,Gls,Ast,Wage,Transfer_Value,Pens,Pens_S,Pas_A,Pas_%,Pr_Passes,Pres_A,Pres_C,Blk,Shts_Blckd,Clear,Hdrs,Itc,Tck_A,Tck_W,Off,Gl_Mst,K_Tck,Distance,Drb,Cr_A,Cr_C%,Shots,Shts_on_target,K_Pas,Yel,Red,xG,xA
Nathan Young-Coombes,ENG,Reading,"AM (RLC), ST (C)",29,"5'11""",Right,36 (1),36,2898,8,2,"£24,500 p/w",£2.5M,4,3,989,85%,40,427,146,5,1,10,122,48,100,75,33,0,0,422.4km,51,26,15%,61,24,26,0,0,11.48,2.14
Jayden Porter-Atkinson,ENG,Reading,M/AM (L),24,"5'7""",Left,31 (6),31,2459,1,6,"£14,000 p/w",£5.2M - £6.4M,0,0,868,81%,96,520,184,16,4,26,24,50,100,77,11,0,0,362.4km,103,198,13%,32,9,37,2,0,3.37,6.1
Ryan Yates,ENG,Reading,"D (C), DM, M (C)",34,"6'3""",Right,30 (10),30,2619,1,0,"£13,750 p/w",£130K - £1.3M,0,0,"1,752",82%,179,423,133,18,10,18,128,53,101,61,0,1,4,372.5km,10,14,7%,19,6,31,7,0,0.91,2.25
Sean Fusire,ZIM,Reading,"D/WB (R), M (RC)",26,"5'10""",Right,28 (13),28,2418,0,0,"£12,750 p/w",£2.8M,0,0,"1,446",86%,126,376,115,18,12,18,100,54,87,61,3,0,3,348.0km,28,55,5%,28,4,22,5,0,1.19,1.24
Cédric Kipré,CIV,Reading,"D (C), DM",35,"6'4""",Right,28 (11),28,2486,0,0,"£20,000 p/w",£550K,0,0,"1,775",90%,108,163,70,29,21,35,177,102,47,35,0,0,12,307.5km,4,1,0%,4,2,7,2,0,0.25,0.36
Deon Lanferman,GUY,Reading,"M/AM (R), ST (C)",22,"5'7""",Left,28 (9),28,2474,2,5,"£7,750 p/w",Not for Sale,0,0,"1,054",78%,110,472,167,14,3,18,31,62,75,53,4,0,0,360.1km,82,92,16%,37,8,47,1,0,1.6,3.52
Scott Thomas,WAL,Reading,"D (C), DM, M/AM (C)",22,"6'2""",Either,23 (20),23,2264,0,0,"£7,500 p/w",£250K - £6M,0,0,"1,385",76%,100,203,67,22,15,49,176,82,64,46,0,1,10,293.2km,8,2,0%,12,4,9,3,0,0.28,0.84
Russell Hammant,ENG,Reading,"D (R), M (C)",22,"6'1""",Right,18,18,1546,1,2,"£10,750 p/w",£55M - £68M,0,0,993,80%,73,268,93,13,11,32,67,33,73,53,1,0,0,217.8km,32,10,10%,14,3,12,4,0,0.63,1.2
Alfie Davidson,ENG,Reading,M/AM (C),21,"6'4""",Right,14 (1),14,1077,2,0,"£17,750 p/w",Not for Sale,0,0,689,80%,66,179,64,5,1,9,63,27,27,18,1,0,0,159.7km,18,6,16%,21,6,21,4,0,1.06,1.39
Peter Edwards,WAL,Reading,"AM (RL), ST (C)",23,"5'11""",Right,14,14,1226,7,2,"£20,500 p/w",£9.6M,0,0,330,85%,7,191,55,5,2,9,30,14,35,28,23,0,0,172.6km,29,26,29%,31,14,16,1,0,4.76,1.67
Sebastian Eichholz,AUT,Reading,"M/AM (R), ST (C)",24,"5'9""",Right,11 (17),11,1134,3,0,"£11,750 p/w",£35K - £375K,0,0,471,79%,27,204,76,2,0,8,23,18,35,31,4,0,0,169.1km,23,23,13%,26,9,11,0,0,3.66,1.06
Martin Nikolic,SWE,Reading,ST (C),20,"5'10""",Right,10 (21),10,1211,8,2,"£5,000 p/w",£35K - £3.4M,0,0,392,84%,16,143,42,3,1,6,21,10,14,10,16,0,0,168.1km,15,28,6%,31,16,22,0,0,5.79,2.03
Ali ?entürk,GER,Reading,D (RLC),23,"6'3""",Right,9 (11),9,952,1,1,"£7,250 p/w",£100K - £1M,0,0,629,59%,41,77,30,13,11,26,132,48,27,23,0,0,6,122.8km,2,2,0%,6,1,3,2,0,0.54,0.26
Ryan Blake,ENG,Reading,D/WB (R),24,"5'9""",Right,8 (13),8,883,0,0,"£1,500 p/w",£6K - £55K,0,0,476,83%,44,126,49,4,2,13,20,52,33,26,0,0,1,143.7km,14,79,5%,3,1,10,7,0,0.07,0.62
Przemys?aw Jako?cewicz,POL,Reading,D/WB (L),24,"6'3""",Left,4 (11),4,506,0,1,"£11,250 p/w",£325K - £3.2M,0,0,337,81%,20,65,29,3,2,16,37,20,20,17,0,0,1,77.9km,11,16,6%,5,2,3,0,0,0.1,0.51
Leonie Lambert,ENG,Reading,D (LC),21,"6'1""",Left,4 (6),4,409,0,0,"£3,100 p/w",£650K - £1.4M,0,0,259,83%,16,49,18,3,1,11,25,25,12,6,0,0,3,54.1km,4,2,0%,1,1,2,1,0,0.01,0.04
Adriano Brown,JAM,Reading,"M/AM (R), ST (C)",23,"6'0""",Right,1 (7),1,211,0,0,"£3,300 p/w",£275K - £2.7M,0,0,66,89%,4,21,6,2,2,2,1,3,2,1,3,0,0,30.6km,5,6,16%,2,0,2,0,0,0.11,0.1
Louis Angotti,BIH,Reading,D/WB/AM (R),23,"6'0""",Right,1 (4),1,118,0,0,"£3,800 p/w",£450K - £1.3M,0,0,79,67%,9,21,10,1,1,5,9,9,7,5,0,0,0,19.7km,2,6,16%,1,0,0,0,0,0.09,0
Ceiran Houlton,ENG,Reading,"D (RC), DM, M (C)",19,"6'0""",Right,0 (2),-,23,0,0,"£2,000 p/w",£140K - £1.4M,0,0,10,60%,0,4,1,2,0,2,3,1,1,1,1,0,0,4.5km,0,0,0%,0,-,0,0,0,0,0
Cian Hastings,SCO,Reading,"M (LC), AM (L)",22,"6'2""",Left,0 (1),-,26,0,0,"£1,400 p/w",£0 - £55K,0,0,12,58%,4,5,1,0,0,1,4,0,2,1,0,0,0,3.9km,1,1,0%,1,1,0,0,0,0.02,0
Macauley Fazakerley,ENG,Reading,WB/M/AM (L),24,"5'9""",Right,0 (1),-,21,0,0,"£3,500 p/w",£450K,0,0,10,50%,1,8,3,0,0,0,1,0,1,0,0,0,0,3.5km,1,7,33%,1,1,1,0,0,0.14,0.38
John Farrell,ENG,Reading,"DM, M/AM (C)",23,"6'0""",Right,-,-,-,-,-,"£1,300 p/w",£3K - £9K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brian Simo,CMR,Reading,"AM (RL), ST (C)",23,"5'9""",Right,-,-,-,-,-,"£1,600 p/w",£0 - £60K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toby Mawer,ENG,Reading,GK,25,"6'2""",Right,-,-,-,-,-,"£1,100 p/w",£16K - £45K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beau Hudd,ENG,Reading,GK,26,"6'5""",Right,-,-,-,-,-,"£3,400 p/w",£35K - £375K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
James Beadle,ENG,Sheff Utd,GK,27,"6'2""",Right,46,46,4140,0,2,"£2,200 p/w",£85K - £240K,0,0,"1,125",47%,83,0,0,-,-,-,-,18,4,1,0,6,3,297.3km,0,-,-,0,-,2,0,0,0,0.6
Ermin Hadži?,SRB,Sheff Utd,"D (LC), DM",23,"5'8""",Left,42,42,3487,0,5,"£19,500 p/w",£6M - £9M,0,0,"1,796",80%,226,446,136,26,10,34,55,146,124,94,0,0,7,522.2km,97,131,12%,14,2,48,15,0,0.95,5.15
Karl Seymour,ENG,Sheff Utd,"M (L), AM (C), ST (C)",23,"6'0""",Right,41 (3),41,3328,14,10,"£12,000 p/w",£7.4M - £11M,7,5,"1,202",82%,75,492,144,3,0,8,233,49,79,60,18,0,0,472.5km,39,24,20%,113,55,46,2,1,18.83,5.54
Jon Chalmers,SCO,Sheff Utd,"D/WB (RL), M/AM (R)",23,"5'9""",Right,40 (2),40,3268,7,8,"£6,500 p/w",£900K - £4.3M,0,0,"1,359",80%,135,422,129,21,8,41,48,131,98,71,7,3,5,489.7km,147,263,9%,52,18,74,9,0,5.44,10.05
Paterne Nsiala,GER,Sheff Utd,"AM (RC), ST (C)",21,"5'10""",Right,39 (4),39,3306,18,4,N/A,£14M - £18.5M,0,0,697,87%,39,270,82,4,1,7,52,18,45,38,37,0,0,436.2km,40,31,25%,96,43,48,4,1,19.64,5.51
Nnamdi Ofoborh,NGA,Sheff Utd,"D (C), DM, M (C)",32,"6'0""",Right Only,38 (9),38,3249,2,3,"£19,000 p/w",£650K - £6.6M,0,0,"2,289",77%,256,367,116,22,9,49,172,70,95,69,1,0,4,459.8km,28,24,20%,32,9,49,10,0,1.73,3.32
Eduardo Quaresma,POR,Sheff Utd,"D (RC), WB (R), DM",30,"6'1""",Right,37 (5),37,3271,2,2,"£17,250 p/w",£8M - £9.8M,0,0,"2,151",90%,160,248,92,18,12,55,270,143,78,54,1,2,13,434.5km,25,82,10%,12,7,29,17,0,0.64,3.35
Callum Duff,ENG,Sheff Utd,"DM, M (C)",21,"5'10""",Right,37 (4),37,3329,2,3,"£10,250 p/w",£19.5M - £32M,0,0,"2,118",85%,254,447,147,10,5,18,69,71,123,87,2,0,4,491.3km,26,12,33%,58,13,61,11,0,2.5,4.07
Carlos Baleba,CMR,Sheff Utd,"DM, M/AM (C)",28,"5'10""",Left,36 (9),36,3088,3,5,"£19,750 p/w",£6.2M - £8.2M,0,0,"2,091",86%,254,570,220,18,5,15,76,64,128,100,1,1,4,464.7km,53,31,38%,62,10,62,11,1,2.01,4.47
Teden Mengi,ANG,Sheff Utd,D (RC),30,"6'0""",Right,36 (7),36,3085,1,1,"£24,000 p/w",£6M - £7.8M,0,0,"2,368",80%,191,179,72,25,18,55,377,141,58,44,0,3,9,389.2km,8,12,25%,19,7,10,11,0,1.4,1.49
Omari Forson,GHA,Sheff Utd,M/AM (RLC),27,"5'9""",Left,35 (14),35,3071,16,7,"£22,500 p/w",£10.5M - £13M,0,0,"1,311",80%,81,636,216,14,0,11,45,61,124,93,19,0,1,468.5km,100,185,23%,124,58,109,4,0,17.1,8.52
David Okumu,NOR,Sheff Utd,"M/AM (R), ST (C)",20,"5'9""",Either,34 (7),34,2876,5,4,"£1,100 p/w",£6.2M - £10M,0,0,"1,143",76%,80,440,150,19,3,26,33,40,97,75,29,1,0,420.5km,114,377,13%,93,32,109,3,0,8.73,10.17
Waylon Renecke,ENG,Sheff Utd,D (C),25,"6'1""",Left Only,30 (15),30,2850,1,0,"£10,000 p/w",£5.6M - £7M,0,0,"2,183",86%,184,138,64,23,22,51,366,187,51,38,1,0,13,361.6km,7,3,0%,20,8,10,8,0,1.55,1.68
Rhian Brewster,ENG,Sheff Utd,"AM (RLC), ST (C)",32,"5'10""",Right,24 (2),24,1826,6,4,"£65,000 p/w",Not for Sale,2,0,623,77%,46,400,123,5,1,8,44,45,76,50,25,0,0,269.2km,46,40,17%,58,24,36,9,0,6.53,3.01
Will Smallbone,IRL,Sheff Utd,"M (C), AM (RLC)",32,"5'8""",Right,13 (22),13,1446,2,2,"£8,500 p/w",£375K - £3.7M,0,0,647,80%,75,266,88,5,2,2,51,23,36,24,5,0,0,222.5km,25,12,16%,31,5,31,0,0,4.34,3.29
Ryan Giles,ENG,Sheff Utd,D/WB/M/AM (L),32,"6'0""",Left Only,7 (25),7,898,2,2,"£29,500 p/w",£4.2M - £5.4M,0,0,439,81%,32,157,54,7,3,10,50,28,45,37,7,0,2,146.2km,32,49,10%,31,11,13,1,0,2.16,2.59
Gary Craven,WAL,Sheff Utd,D/WB/AM (L),23,"5'6""",Left,4 (12),4,504,0,0,"£3,700 p/w",£35K - £325K,0,0,248,75%,27,75,29,3,0,15,7,27,14,12,3,0,0,83.3km,21,19,5%,4,1,8,2,0,0.07,0.46
Curtis Snaith,ENG,Sheff Utd,"M/AM (R), ST (C)",23,"5'8""",Left,2 (20),2,597,3,2,"£5,000 p/w",£70K - £700K,0,0,182,83%,15,87,28,1,0,1,12,10,17,13,7,0,0,91.0km,16,26,15%,18,8,9,0,0,2.04,1.32
David Hall,ENG,Sheff Utd,"D (RL), WB (R)",22,"5'8""",Right,2 (11),2,320,0,0,"£7,750 p/w",£350K - £6M,0,0,132,75%,18,56,24,3,0,5,7,20,12,6,0,0,0,53.3km,11,37,3%,1,0,5,0,0,0.05,0.31
Oliver Souttar,SCO,Sheff Utd,"WB (R), DM, M (LC), AM (L)",21,"6'1""",Left,2 (6),2,269,1,0,"£1,400 p/w",£2.9M - £5.4M,0,0,138,84%,9,33,9,1,0,6,14,4,6,5,0,0,0,40.4km,0,2,0%,1,1,2,1,0,0.02,0.51
Luke Cundle,ENG,Sheff Utd,"M (LC), AM (RLC)",30,"5'7""",Right,1 (5),1,180,1,1,"£9,750 p/w",£1.7M,1,1,63,62%,5,38,7,0,0,2,4,5,8,6,1,0,0,29.2km,0,13,0%,4,1,3,0,0,1.42,0.21
Mark Murphy,IRL,Sheff Utd,"D (RC), DM",22,"6'1""",Right,0 (3),-,29,0,0,"£5,500 p/w",£1.5M - £3M,0,0,25,88%,2,1,0,0,0,1,-,2,1,1,0,0,1,5.0km,1,0,0%,0,-,0,0,0,0,0
Cameron Palmer,ENG,Sheff Utd,"AM (R), ST (C)",22,"6'2""",Right,0 (2),-,43,1,0,£550 p/w,£0 - £28K,0,0,11,82%,0,4,1,0,0,0,7,0,0,-,0,0,0,6.3km,0,0,0%,1,1,2,0,0,0.43,0.2
Haydn Leake,ENG,Sheff Utd,"D (RLC), WB (R), DM",21,"6'2""",Either,0 (2),-,19,0,0,"£2,400 p/w",£230K - £2.3M,0,0,15,60%,0,2,1,1,0,0,4,1,1,1,0,0,0,3.7km,0,3,0%,0,-,0,0,0,0,0
Arran Cunningham,ENG,Sheff Utd,GK,24,"6'0""",Right,-,-,-,-,-,"£2,400 p/w",£0 - £4K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vinicius Souza,BRA,Sheff Utd,"DM, M (C)",32,"6'2""",Right,-,-,-,-,-,"£33,500 p/w",£4.5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamie Cumming,ENG,Sunderland,GK,32,"6'2""",Right,56,56,5070,0,2,"£32,500 p/w",Not for Sale,0,0,"1,455",50%,150,0,0,-,-,-,-,31,3,1,0,2,0,360.2km,0,-,-,0,-,5,0,0,0,1.21
Dwight McNeil,ENG,Sunderland,"M/AM (RLC), ST (C)",32,"6'0""",Left,48 (4),48,3824,8,7,"£44,500 p/w",Not for Sale,0,0,"1,697",82%,115,917,285,22,4,25,182,108,173,140,13,0,2,556.3km,156,386,6%,50,20,98,1,0,4.7,7.24
Mees Hilgers,NED,Sunderland,"D (RC), DM",30,"6'0""",Right,43 (4),43,3688,2,1,"£15,500 p/w",£9.6M - £15.5M,0,0,"2,568",89%,156,280,104,39,26,56,351,130,61,52,2,0,12,484.5km,7,13,7%,26,11,16,7,0,1.44,0.75
Eduardo Gálvez,PER,Sunderland,D/WB/AM (R),23,"5'9""",Right,41 (6),41,3545,0,3,"£26,000 p/w",£8.4M - £11M,0,0,"1,709",85%,133,484,166,29,10,74,137,182,109,93,2,1,8,552.5km,169,267,6%,10,2,39,12,0,0.63,3.36
Sivert Mannsverk,NOR,Sunderland,"D (C), DM, M (C)",30,"6'1""",Right,40 (2),40,3381,4,3,"£42,500 p/w",£120K - £1.2M,3,3,"2,363",85%,208,393,146,20,10,24,180,58,87,59,0,0,9,490.4km,16,8,0%,40,14,22,6,0,3.73,2.18
Adam Kinsella,ENG,Sunderland,"WB (R), M/AM (RL)",23,"5'10""",Either,38 (5),38,3133,8,7,"£20,500 p/w",£275K - £2.8M,0,0,"1,371",80%,93,742,208,13,2,21,71,60,124,101,18,0,1,450.6km,97,95,17%,59,26,59,1,0,5.62,5.13
Cole Bredice,ENG,Sunderland,M/AM (C),22,"6'0""",Right,36 (10),36,3135,2,5,"£9,000 p/w",£4.6M - £7.6M,0,0,"1,754",83%,141,597,204,21,5,17,96,65,77,60,1,1,1,460.7km,18,25,24%,28,6,64,0,0,2.43,5.66
Jens Cajuste,SWE,Sunderland,"D/WB (R), DM, M (RC)",32,"6'2""",Right,35 (13),35,2966,4,2,"£26,000 p/w",£4.3M - £8.6M,0,0,"1,849",86%,132,588,221,13,4,19,95,66,122,90,2,0,1,432.8km,26,19,27%,42,16,37,0,0,2.3,2.87
Luis Binks,ENG,Sunderland,"D (C), DM",30,"6'3""",Left,33 (11),33,3119,0,0,"£28,000 p/w",£10.5M - £13M,0,0,"2,388",91%,141,155,76,28,24,42,240,113,39,25,0,1,5,390.2km,2,1,0%,15,4,7,7,0,0.95,0.17
Fabio Di Francesco,ITA,Sunderland,D (RC),20,"6'7""",Right,32 (7),32,2883,1,0,"£7,250 p/w",£43M - £53M,0,0,"2,144",66%,213,111,49,23,21,72,269,123,40,31,0,2,13,355.9km,2,3,0%,17,4,6,4,0,1.24,0.41
Emre Tezgel,ENG,Sunderland,ST (C),26,"6'0""",Either,24 (8),24,1961,16,3,"£40,500 p/w",£11.5M - £15M,3,3,609,84%,11,305,69,6,0,5,184,17,31,23,29,0,0,274.9km,24,12,16%,79,36,13,3,0,12.69,1.3
Richard Macrae,ENG,Sunderland,"AM (RL), ST (C)",22,"6'2""",Left,23 (19),23,2048,11,3,"£12,250 p/w",Not for Sale,0,0,590,82%,14,306,91,7,2,10,174,19,28,22,54,0,0,288.9km,47,21,4%,83,32,20,2,0,10.35,1.37
Daniel Ballard,NIR,Sunderland,"D (RC), DM",32,"6'2""",Right,22 (28),22,2420,2,0,"£28,500 p/w",£4.9M - £6.4M,0,0,"1,968",90%,138,182,72,22,18,29,205,115,57,44,0,0,8,323.9km,9,25,12%,16,7,12,0,0,0.91,0.6
Axel Guessand,FRA,Sunderland,D (LC),27,"6'1""",Left Only,22 (12),22,2051,0,1,"£16,000 p/w",£6.2M - £7.8M,0,0,"1,569",87%,137,281,116,29,7,30,154,112,58,38,3,1,4,297.6km,17,30,23%,6,2,24,1,0,0.12,1.39
Lino Sousa,ENG,Sunderland,D/WB/M/AM (L),27,"5'9""",Left,18 (23),18,2007,0,2,"£23,000 p/w",£8.6M - £14M,0,0,"1,144",84%,108,321,115,17,5,23,64,94,65,52,7,0,2,311.0km,67,95,15%,17,5,32,4,0,0.59,2.02
Justin Petitjean,ENG,Sunderland,"DM, M (LC), AM (C)",23,"6'1""",Left,17 (13),17,1543,2,5,"£8,500 p/w",£450K - £4.6M,0,0,"1,005",79%,109,291,77,9,3,13,72,31,45,29,1,0,0,221.8km,22,9,33%,22,2,26,0,0,1.66,2.2
Dan Neil,ENG,Sunderland,"DM, M (C), AM (RC)",30,"5'10""",Right,16 (5),16,1448,1,2,"£34,500 p/w",£9.4M - £15.5M,1,1,993,85%,74,290,96,11,3,9,21,24,46,27,2,0,0,218.5km,9,94,13%,8,2,35,0,0,1.12,2.3
Ebrima Scattred,ESP,Sunderland,"M (C), AM (RLC), ST (C)",19,"6'0""",Right,15 (23),15,1684,4,2,"£15,000 p/w",Not for Sale,0,0,825,79%,60,346,109,8,4,9,78,35,46,34,8,0,0,250.2km,27,29,13%,31,13,21,1,0,2.44,2.07
Andrew Doyle,ENG,Sunderland,"M (L), AM (RL)",23,"5'5""",Left,9 (8),9,897,1,3,"£21,000 p/w",£1.1M - £9.4M,0,0,386,78%,19,177,53,2,0,1,8,22,30,24,4,0,0,132.0km,48,175,8%,24,11,42,0,0,2.35,2.97
Charlie Messer,ENG,Sunderland,"M (C), ST (C)",21,"6'2""",Either,7 (13),7,865,2,1,"£21,500 p/w",£140K - £1.4M,0,0,435,80%,25,106,32,2,2,1,62,13,16,10,8,0,0,122.8km,6,8,25%,21,8,12,0,0,1.11,0.97
Cameron Archer,ENG,Sunderland,ST (C),30,"5'7""",Right,5 (8),5,516,2,1,"£42,500 p/w",£2.3M,0,0,127,86%,4,70,18,1,0,0,20,3,13,7,12,0,0,70.0km,6,9,33%,27,13,6,0,0,3.87,0.5
Simone Iob,ITA,Sunderland,D/WB (R),27,"6'0""",Right Only,5 (3),5,460,0,0,"£13,500 p/w",£400K - £4.1M,0,0,274,86%,28,57,17,3,1,5,25,25,13,10,0,0,1,67.4km,0,18,33%,2,0,3,1,0,0.09,0.14
Gabriel Sara,BRA,Sunderland,"DM, M/AM (C)",32,"5'9""",Left Only,3 (11),3,421,1,0,"£39,000 p/w",£8K,1,1,263,81%,13,85,34,4,1,5,9,11,15,12,0,1,1,66.1km,4,25,0%,12,3,11,1,0,1.04,0.14
Harry Clarke,ENG,Sunderland,"D (RC), WB (R), DM, M (C)",31,"6'2""",Right,1 (8),1,221,0,0,"£16,250 p/w",£1.2M,0,0,149,81%,8,32,10,1,1,3,16,10,8,6,0,0,0,33.0km,3,2,0%,4,1,1,0,1,0.09,0
Gaz Brady,ENG,Sunderland,ST (C),23,"6'1""",Right,0 (1),-,30,0,0,"£4,500 p/w",Not for Sale,0,0,5,100%,0,10,3,0,0,0,1,0,1,1,1,0,0,4.5km,1,0,0%,0,-,0,0,0,0,0
Jai McCormick,ENG,Sunderland,ST (C),22,"6'1""",Right,-,-,-,-,-,"£2,100 p/w",£1K - £9K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
John L'Estrange,ENG,Sunderland,"AM (RL), ST (C)",22,"5'11""",Right,-,-,-,-,-,"£2,900 p/w",£1K - £9K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Charlie Dugdale,ENG,Sunderland,"AM (RLC), ST (C)",22,"5'11""",Left,-,-,-,-,-,"£5,250 p/w",£0 - £90K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jarrett Gillesphey,IRL,Sunderland,"D (C), DM",23,"5'10""",Right Only,-,-,-,-,-,"£2,100 p/w",£7K - £20K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scott McLevy,SCO,Sunderland,GK,24,"6'0""",Right,-,-,-,-,-,"£3,500 p/w",£70K - £700K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Djordje Petrovi?,SRB,Sunderland,GK,32,"6'4""",Right Only,-,-,-,-,-,"£10,750 p/w",£45K - £425K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pat Cartwright,WAL,West Brom,GK,23,"6'1""",Either,47,47,4230,0,0,"£12,750 p/w",£900K - £7.4M,0,0,"1,493",83%,66,0,0,-,-,-,-,26,4,1,0,2,1,301.7km,0,-,-,0,-,0,0,0,0,0.56
Jovane Cabral,CPV,West Brom,"M (L), AM (RLC), ST (C)",33,"5'9""",Right,45,45,3618,11,11,"£40,000 p/w",Not for Sale,3,3,"1,777",80%,117,560,206,15,5,18,49,59,143,114,31,0,2,515.2km,97,480,20%,96,45,147,0,0,9.94,13.88
Flynn Downes,ENG,West Brom,"DM, M (C)",33,"6'0""",Right Only,44 (1),44,3638,0,6,"£24,500 p/w",£700K - £7M,0,0,"3,038",89%,280,457,168,18,12,22,116,61,130,91,0,0,7,546.7km,24,11,0%,39,6,39,13,1,1.31,2.05
Salah Oulad M'Hand,NED,West Brom,"DM, M/AM (C)",28,"6'0""",Right,40 (2),40,3180,2,3,"£38,000 p/w",£14.5M - £24M,0,0,"2,337",85%,208,523,176,14,5,17,127,49,107,74,7,1,0,466.0km,32,23,9%,61,18,54,2,0,3.84,2.98
Japhet Tanganga,COD,West Brom,D (RLC),33,"6'1""",Right,39 (1),39,3010,0,2,"£23,500 p/w",£900K - £9M,0,0,"2,343",89%,146,271,104,20,9,44,239,136,67,50,7,0,7,412.3km,31,147,8%,11,1,20,11,0,0.31,2.6
Liam Terrington,ENG,West Brom,D (C),20,"5'11""",Right,35,35,3049,0,1,"£13,750 p/w",Not for Sale,0,0,"2,501",86%,146,162,77,25,19,48,184,135,56,38,1,0,14,390.0km,10,2,0%,10,5,6,12,0,0.59,0.2
Olly Mackintosh,SCO,West Brom,D/WB (L),20,"6'0""",Left Only,34 (2),34,2828,0,2,"£16,250 p/w",Not for Sale,0,0,"2,064",84%,250,347,129,30,12,48,145,136,117,82,3,0,3,428.2km,50,109,10%,10,1,26,12,0,0.38,1.75
Myles Peart-Harris,ENG,West Brom,"DM, M (C), AM (LC)",29,"6'2""",Right,32 (12),32,2939,13,10,"£31,500 p/w",£11M - £17.5M,1,1,"1,845",82%,148,476,170,16,7,14,119,59,93,65,11,0,0,446.3km,29,31,19%,80,31,47,3,1,8.49,5.39
Joshua Zirkzee,NED,West Brom,"AM (RLC), ST (C)",30,"6'4""",Right,31 (6),31,2562,19,2,"£20,500 p/w",£5.8M - £9.4M,1,0,781,83%,36,268,76,8,2,8,165,24,57,36,30,0,0,341.1km,33,34,8%,99,59,22,2,0,14.31,2.75
Dimitris Georgakopoulos,ENG,West Brom,"M (C), AM (RC)",23,"6'1""",Right,29 (11),29,2478,2,5,"£23,000 p/w",£6M - £7.2M,0,0,"1,514",79%,176,431,149,10,4,14,101,41,75,50,4,0,0,363.1km,59,23,13%,38,17,57,4,0,1.61,3.93
Lewis Montsma,SWE,West Brom,D (C),34,"6'3""",Right,26 (13),26,2472,0,0,"£27,500 p/w",£40K - £425K,0,0,"2,130",90%,197,115,56,16,14,29,222,95,38,32,0,1,10,317.0km,1,1,100%,11,3,7,7,0,0.85,1.02
Darío Sarmiento,ARG,West Brom,"M (L), AM (RLC), ST (C)",29,"5'6""",Left,26 (2),26,2141,3,9,"£33,500 p/w",£12M - £15.5M,0,0,927,86%,52,387,143,14,1,18,13,46,88,70,10,0,1,308.8km,66,175,16%,29,11,43,4,0,2.64,5.61
Björn Marinov,GER,West Brom,D (R),20,"6'2""",Right,24 (16),24,2341,0,5,"£6,250 p/w",£650K - £6.4M,0,0,"1,633",87%,123,304,128,18,6,39,192,130,88,66,8,1,5,370.6km,58,214,8%,7,2,40,12,0,0.36,3.45
Oliver Bala,NGA,West Brom,"AM (C), ST (C)",21,"5'11""",Right,23 (6),23,1917,13,1,"£14,250 p/w",Not for Sale,0,0,516,82%,18,208,63,5,1,7,85,14,32,24,17,0,0,254.3km,24,15,13%,60,26,23,1,0,8.99,0.8
Jordan Hackett,ENG,West Brom,"D (LC), WB (L)",28,"5'9""",Left Only,17 (13),17,1722,0,3,"£31,000 p/w",£8.4M - £11M,0,0,"1,308",88%,124,169,79,8,4,23,51,82,64,47,0,0,8,250.0km,20,48,6%,2,0,15,2,0,0.16,1.14
Jeando Fuchs,CMR,West Brom,"DM, M (C)",34,"5'9""",Right,8 (27),8,1174,3,1,"£15,500 p/w",£16K - £170K,0,0,"1,050",88%,92,139,57,4,3,21,21,37,45,31,1,0,1,187.0km,8,4,50%,14,4,14,2,0,1.12,0.71
Rhys McKinlay,SCO,West Brom,"M (R), AM (RLC), ST (C)",23,"5'11""",Right,6 (28),6,1006,7,2,"£8,500 p/w",£4M - £5.8M,0,0,372,78%,18,156,46,9,5,2,42,16,40,29,17,0,0,153.0km,28,47,15%,37,14,13,1,0,4.71,2.11
Mathias Cargol,FRA,West Brom,"M (C), AM (LC)",21,"5'11""",Right,6 (2),6,525,1,1,"£12,250 p/w",£16M - £19.5M,0,0,301,81%,15,89,25,1,1,2,12,13,25,22,0,0,0,76.0km,5,4,0%,7,1,5,1,0,1.01,1.24
